song ID,song name,song popularity,artist name,artist id,artist genres,album name,album id,album release date,track image,artist image
spotify:track:2bOWJIYSbhwg2NMQq1QMYH,Forward (feat. James Blake),54,Beyoncé,6vWDO969PvNqNYHIOW5v0m,"dance pop, pop, r&b",Lemonade,7dK54iZuOxXFarGhXwEXfF,23/04/2016,https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23,https://i.scdn.co/image/ab6761610000e5ebd3d058be8485c8583703b6d2
spotify:track:7oAuqs6akGnPU3Tb00ZmyM,All Night,66,Beyoncé,6vWDO969PvNqNYHIOW5v0m,"dance pop, pop, r&b",Lemonade,7dK54iZuOxXFarGhXwEXfF,23/04/2016,https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23,https://i.scdn.co/image/ab6761610000e5ebd3d058be8485c8583703b6d2
spotify:track:6eR1N0EBHiDkGDzegX99d3,Sorry - Original Demo,56,Beyoncé,6vWDO969PvNqNYHIOW5v0m,"dance pop, pop, r&b",Lemonade,7dK54iZuOxXFarGhXwEXfF,23/04/2016,https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23,https://i.scdn.co/image/ab6761610000e5ebd3d058be8485c8583703b6d2
spotify:track:1IdZvb2XK8NmsovQlV6CPn,Be Yourself,63,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,"alternative r&b, hip hop, lgbtq+ hip hop, neo soul, pop",Blonde,3mH6qwIy9crq0I9YQbOuDf,20/08/2016,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,https://i.scdn.co/image/ab6761610000e5ebfbc3faec4a370d8393bee7f1
spotify:track:4xR3MAscflQ262kMeiKshQ,Skyline To,66,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,"alternative r&b, hip hop, lgbtq+ hip hop, neo soul, pop",Blonde,3mH6qwIy9crq0I9YQbOuDf,20/08/2016,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,https://i.scdn.co/image/ab6761610000e5ebfbc3faec4a370d8393bee7f1
spotify:track:2JUqYobT8NvARdPmc4ES2x,Good Guy,65,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,"alternative r&b, hip hop, lgbtq+ hip hop, neo soul, pop",Blonde,3mH6qwIy9crq0I9YQbOuDf,20/08/2016,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,https://i.scdn.co/image/ab6761610000e5ebfbc3faec4a370d8393bee7f1
spotify:track:2qtoRFCOEL1gRn5q9DJC7F,Solo (Reprise),63,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,"alternative r&b, hip hop, lgbtq+ hip hop, neo soul, pop",Blonde,3mH6qwIy9crq0I9YQbOuDf,20/08/2016,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,https://i.scdn.co/image/ab6761610000e5ebfbc3faec4a370d8393bee7f1
spotify:track:17yrCsl1Ai6CZLBmGj6d6p,Pretty Sweet,63,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,"alternative r&b, hip hop, lgbtq+ hip hop, neo soul, pop",Blonde,3mH6qwIy9crq0I9YQbOuDf,20/08/2016,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,https://i.scdn.co/image/ab6761610000e5ebfbc3faec4a370d8393bee7f1
spotify:track:73D5hBkiVZkopZrmBZTBWf,Facebook Story,59,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,"alternative r&b, hip hop, lgbtq+ hip hop, neo soul, pop",Blonde,3mH6qwIy9crq0I9YQbOuDf,20/08/2016,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,https://i.scdn.co/image/ab6761610000e5ebfbc3faec4a370d8393bee7f1
spotify:track:1VZLEW5ZfcAbKZ94XQiSZF,Close To You,66,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,"alternative r&b, hip hop, lgbtq+ hip hop, neo soul, pop",Blonde,3mH6qwIy9crq0I9YQbOuDf,20/08/2016,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,https://i.scdn.co/image/ab6761610000e5ebfbc3faec4a370d8393bee7f1
