Unnamed: 0,song_id,acousticness,valence,danceability,energy,key_arr,instrumentalness,liveness,track image,artist image,loudness,speechiness,tempo,duration,h_s
36,spotify:track:0r4SsYcwvd8URat6AS2m6f,0.133,0.799,0.694,0.712,7,0,0.211,https://i.scdn.co/image/ab67616d0000b2736eaa0691ac9d790b41d21a91,https://i.scdn.co/image/ab6761610000e5eba63a2b0ceb57eb509d67c90f,-3.923,0.046,98.022,201122,h
37,spotify:track:6oJ6le65B3SEqPwMRNXWjY,0.0154,0.404,0.693,0.678,8,6.05E-06,0.101,https://i.scdn.co/image/ab67616d0000b2737c8977a0ad3a3a0627be9ed7,https://i.scdn.co/image/ab6761610000e5eb6567299e3c53cf2a250fbdce,-7.159,0.0324,103.952,228267,h
38,spotify:track:37f4ITSlgPX81ad2EvmVQr,0.0549,0.33,0.564,0.714,7,0,0.155,https://i.scdn.co/image/ab67616d0000b273a9e4d7fae5dfcc8f9cc96bc9,https://i.scdn.co/image/ab6761610000e5eb5e171f4ceedf185b22e464bf,-4.987,0.129,175.924,204013,h
39,spotify:track:4JaLkM90MJutDAl5jD9BZX,0.0278,0.85,0.558,0.916,1,0,0.0296,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8,-3.145,0.0839,142.984,199720,h
40,spotify:track:72ahyckBJfTigJCFCviVN7,0.144,0.805,0.638,0.867,2,0.000733,0.0846,https://i.scdn.co/image/ab67616d0000b273c18cc9d6fcea1478b1257678,https://i.scdn.co/image/ab6761610000e5eb3f289b61b4d965ce54e31841,-6.469,0.0331,115.692,243373,h
41,spotify:track:7iL6o9tox1zgHpKUfh9vuC,0.255,0.777,0.899,0.713,6,0,0.0708,https://i.scdn.co/image/ab67616d0000b273d843fabb75fef14010e30cae,https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2,-2.752,0.366,90.051,193467,h
42,spotify:track:4Z1fbYp0HuxLBje4MOZcSD,0.641,0.937,0.482,0.849,2,7.74E-06,0.0414,https://i.scdn.co/image/ab67616d0000b2736dad651e0f698008133d94dc,https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433,-9.198,0.0452,124.631,155227,h
43,spotify:track:55h7vJchibLdUkxdlX3fK7,0.0412,0.937,0.874,0.692,5,7.24E-05,0.324,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,-5.28,0.0431,116.017,178560,h
44,spotify:track:1rIKgCH4H52lrvDcz50hS8,0.133,0.799,0.694,0.712,7,0,0.211,https://i.scdn.co/image/ab67616d0000b2739e1683774b22648f4f178ed3,https://i.scdn.co/image/ab6761610000e5eba63a2b0ceb57eb509d67c90f,-3.923,0.046,98.022,201122,h
45,spotify:track:0eGsygTp906u18L0Oimnem,0.00113,0.239,0.351,0.928,1,0,0.0988,https://i.scdn.co/image/ab67616d0000b273797febe9f06dd027b67a3e64,https://i.scdn.co/image/ab6761610000e5eb207b21f3ed0ee96adce3166a,-3.71,0.0759,148.03,222076,h
